"","X.1","X","desigcomercial","numbicicletas","numdocasvacias","time","add_data","add_hora","nrEstacao","estacao","lat","lng","TS","volume","maxBikes","nDocas","prob","retiradas","devolvidas"
"22",22,32284,"486 - Rua Hermano Neves / Rua José Escada",3,11,"2020-10-15 10:36:14","2020-09-28","2020-10-15 09:34:59",486,"Rua Hermano Neves / Rua José Escada",38.75954,-9.16985,"2020-09-28 10:36:14",-1,6,14,43,4,-1
"23",23,33125,"106 - Jardim Garcia da Orta",8,6,"2020-10-15 10:55:37","2020-09-28","2020-10-15 09:55:01",106,"Jardim Garcia da Orta",38.769459,-9.092506,"2020-09-28 10:55:37",-2,10,14,71,1,-3
"24",24,33145,"476 - Av. Professor Gama Pinto / Reitoria",15,8,"2020-10-15 10:55:37","2020-09-28","2020-10-15 09:55:00",476,"Av. Professor Gama Pinto / Reitoria",38.75231,-9.15885,"2020-09-28 10:55:37",-3,15,23,65,2,-8
"25",25,33146,"218 - Cais do Sodré",7,15,"2020-10-15 10:55:37","2020-09-28","2020-10-15 09:55:01",218,"Cais do Sodré",38.70617,-9.14471,"2020-09-28 10:55:37",-2,15,22,68,3,-3
"26",26,33157,"410 - Rua da Mesquita / Universidade Nova de Lisboa",26,14,"2020-10-15 10:55:37","2020-09-28","2020-10-15 09:54:59",410,"Rua da Mesquita / Universidade Nova de Lisboa",38.73492,-9.16015,"2020-09-28 10:55:37",-2,26,40,65,5,-15
"27",27,33173,"423 - Av. Conde Valbom / Rua Marquês Sá da Bandeira",6,4,"2020-10-15 10:55:37","2020-09-28","2020-10-15 09:55:00",423,"Av. Conde Valbom / Rua Marquês Sá da Bandeira",38.737911,-9.152295,"2020-09-28 10:55:37",-2,9,10,90,3,-6
"28",28,33184,"415 - Av. Duque de Ávila / Av. Conde Valbom",3,17,"2020-10-15 10:55:37","2020-09-28","2020-10-15 09:54:59",415,"Av. Duque de Ávila / Av. Conde Valbom",38.735188,-9.148443,"2020-09-28 10:55:37",-2,5,20,25,6,-4
"29",29,34531,"301 - Avenida da Liberdade / Restauradores",5,17,"2020-10-15 11:15:29","2020-09-28","2020-10-15 10:14:55",301,"Avenida da Liberdade / Restauradores",38.71702,-9.14242,"2020-09-28 11:15:29",-1,15,22,68,16,-6
"30",30,34534,"308 - Marquês de Pombal",11,0,"2020-10-15 11:15:29","2020-09-28","2020-10-15 10:15:00",308,"Marquês de Pombal",38.7246,-9.14969,"2020-09-28 11:15:29",-1,11,11,100,2,-8
"31",31,34536,"103 - Jardim da Água",17,3,"2020-10-15 11:15:29","2020-09-28","2020-10-15 10:14:55",103,"Jardim da Água",38.761218,-9.095019,"2020-09-28 11:15:29",-1,20,20,100,2,-5
